lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff_orig,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
0.0001,True,0.915,1,None,-1,None,10963,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,8.527527332305908,17.49066925048828,7.9902024269104,15.173687934875488,0.9506048387096774,0.9500000000000001,0.9877304978957856,0.9411657393049347,0.9402943626770343,0.9838458769582296,0.930323846908734,0.9279187817258883,0.9839155014306757
0.0001,True,0.915,0,None,-1,None,10963,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,8.656581163406372,17.736379623413086,7.942667007446289,15.466378211975098,0.9450604838709677,0.9436109674081739,0.9861345477463558,0.9320441484994983,0.9307298930729894,0.9810568312374554,0.9499509322865555,0.9452201933404941,0.9882886169081638
0.0001,True,0.91,0,None,-1,None,10903,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,9.865469932556152,22.84710693359375,4.460114002227783,10.993288040161133,0.9561491935483871,0.9552699228791773,0.9890753654420883,0.9424011739888104,0.94149431712316,0.984922755376553,0.9620018535681186,0.9594460929772503,0.991196392937781
0.0001,True,0.91,1,None,-1,None,10903,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,10.073797464370728,22.720964431762695,4.580191135406494,10.381270408630371,0.9551411290322581,0.9543823680164019,0.9905320511517272,0.9503806291846281,0.9496790996186402,0.9872828757595902,0.943466172381835,0.9417382999044889,0.9884885504584631
0.0001,True,0.905,0,None,-1,None,10843,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,10.348127126693726,22.82611656188965,4.679592132568359,11.062649726867676,0.9556451612903226,0.9548717948717949,0.9889198365421757,0.9429124780964677,0.9420249133651775,0.9846635093994782,0.9587357330992098,0.9561975768872322,0.9908296645799666
0.0001,True,0.905,1,None,-1,None,10843,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,10.558886766433716,22.79419708251953,4.8008809089660645,10.117713928222656,0.9566532258064516,0.9558974358974358,0.9907404395470348,0.9519505671862031,0.9512765360516225,0.9875742639235751,0.9482001755926251,0.9468946894689468,0.9883928350986346
0.0001,True,0.9,0,None,-1,None,10783,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,10.964369058609009,22.694215774536133,4.90270471572876,11.067428588867188,0.9556451612903226,0.9548717948717949,0.9890641836257548,0.9426875637577669,0.9417640407086316,0.9850525699929448,0.9608006672226855,0.9589519650655022,0.9894868418115668
0.0001,True,0.9,1,None,-1,None,10783,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,10.968313455581665,22.748979568481445,4.982596397399902,10.120361328125,0.9556451612903226,0.9548254620123203,0.9907140097993372,0.9511267736251507,0.95053965274519,0.9874911460108003,0.9474562135112594,0.9456427955133736,0.9881649054752987
0.0001,True,0.85,0,None,-1,None,10184,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,15.10535216331482,22.42259979248047,7.267279148101807,10.50023365020752,0.9571572580645161,0.9564772145417307,0.9899251834834408,0.9461901021209741,0.9453965723395775,0.9864666499892207,0.949944382647386,0.9488054607508533,0.9877609042368767
0.0001,True,0.85,1,None,-1,None,10184,None,uniform_random,0,SGD,1.0,False,1024,1000,32.48628902435303,15.313919067382812,22.869104385375977,7.4100117683410645,9.763077735900879,0.9596774193548387,0.9591002044989775,0.9907140097993373,0.9506087981146897,0.9499651845220333,0.9872147838443512,0.9482758620689655,0.9471290505969301,0.9888296239067345
