lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff_orig,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
0.0001,True,0.5,1,None,-1,None,30000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,645.3616895675659,84.21601867675781,7.206775379180908,5.702643871307373,0.8826,0.8816972804892773,0.9896094129399755,0.8736,0.8725576393172817,0.9875289987483613,0.8788333333333334,0.8779020871343952,0.9881861216464836
0.0001,True,0.5,0,None,-1,None,30000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,652.3827338218689,84.30175018310547,7.260811185836792,5.446897983551025,0.8836,0.8826570787295537,0.9895807534900862,0.8741666666666666,0.8730744054866403,0.987839382456247,0.8775,0.8765586438753815,0.9880979023373326
0.0001,True,0.45,1,None,-1,None,27000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,705.0364780426025,84.65408325195312,6.41976842880249,4.986178398132324,0.8832,0.8822585339221715,0.9896652935078782,0.8755555555555555,0.8745104067023439,0.9876904396501359,0.8777575757575757,0.8767882313870274,0.9881855525880917
0.0001,True,0.45,0,None,-1,None,27000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,715.2725584506989,84.76437377929688,6.476981496810913,4.650882720947266,0.8849,0.8840131075266116,0.9896835440883637,0.8753703703703704,0.8743093402850389,0.9881385348294854,0.8777575757575757,0.8768169030948513,0.9880777666215211
0.0001,True,0.4,0,None,-1,None,24000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,772.9646410942078,85.1196060180664,5.809827661514282,4.049376964569092,0.8849,0.8840105409742733,0.9897048864770802,0.874375,0.8733303986246259,0.9879914653586104,0.8787777777777778,0.8778114894551834,0.9882369914358813
0.0001,True,0.4,1,None,-1,None,24000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,780.3285028934479,85.0384750366211,5.747963523864746,4.307526588439941,0.884,0.8831120918380977,0.9896889885686007,0.8756666666666667,0.8746631875302016,0.9877728612847914,0.8780833333333333,0.8771179972821942,0.9882184284833118
0.0001,True,0.35,0,None,-1,None,21000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,839.8389015197754,85.35731506347656,5.39432053565979,3.553710460662842,0.8851,0.8842114982136247,0.9897276690891055,0.8750952380952381,0.8740204783168797,0.9881099875181532,0.8787435897435898,0.8777960954682117,0.9882001032635712
0.0001,True,0.35,1,None,-1,None,21000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,840.580694437027,85.3355941772461,5.172996664047242,3.7435736656188965,0.8852,0.8843514053930357,0.9897635105387895,0.8756190476190476,0.8746251338626866,0.9877728182380858,0.8786410256410256,0.8777098206110439,0.988305682947518
0.0001,True,0.3,0,None,-1,None,18000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,899.5572276115417,85.5541000366211,6.1579368114471436,3.2085163593292236,0.8857,0.8848532941449233,0.9897840525129314,0.8758888888888889,0.8749059014423856,0.9880829641104143,0.8790714285714286,0.8781264591935952,0.9882758761218969
0.0001,True,0.3,1,None,-1,None,18000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,901.2385177612305,85.48289489746094,6.616161274909973,3.259805917739868,0.8846,0.8837036943075038,0.9897811095440809,0.876,0.8749984525044219,0.988017658842924,0.8780714285714286,0.8771132401426937,0.9882258311159055
0.0001,True,0.25,1,None,-1,None,15000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,974.0899150371552,85.64192962646484,4.198772406578064,2.8566360473632812,0.8853,0.8844384824140985,0.9897758776082666,0.876,0.8749627902800896,0.9878982703670109,0.8783111111111112,0.877373822780835,0.9882961796272856
0.0001,True,0.25,0,None,-1,None,15000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,997.0255661010742,85.71365356445312,4.388220882415771,2.81081223487854,0.885,0.8841808063484252,0.9897998160533967,0.8762666666666666,0.8752379665178082,0.9878578937218456,0.8788888888888889,0.8779507036910255,0.9883609442616115
0.0001,True,0.2,1,None,-1,None,12000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,1024.910425901413,85.752197265625,3.7223100423812867,2.463897705078125,0.8856,0.8847716246776405,0.9898081834021417,0.87725,0.876221766085967,0.988050958201357,0.878375,0.8774493309430413,0.9882717065835319
0.0001,True,0.2,0,None,-1,None,12000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,1026.1128652095795,85.8434829711914,3.7091798543930055,2.390418529510498,0.8855,0.8846727379460652,0.9898299817075914,0.8783333333333333,0.8772604069200467,0.9877100861450145,0.8787291666666667,0.8777901791824382,0.9884031412445109
0.0001,True,0.15,1,None,-1,None,9000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,1093.02881026268,85.89054107666016,3.5782695531845095,2.0738439559936523,0.886,0.8851617490365401,0.9898376111400848,0.8754444444444445,0.874354521812398,0.9874700569785185,0.8788823529411764,0.8779564614121078,0.9883924215785376
0.0001,True,0.15,0,None,-1,None,9000,None,uniform_random,0,SGD,1.0,False,512,200,348.19120144844055,1097.2881224155426,85.94822692871094,3.4153040647506714,2.002941608428955,0.8856,0.8847685161988736,0.989846946011293,0.8793333333333333,0.8782999806829557,0.9873718678228787,0.8787254901960785,0.8777729844962587,0.9884524892791399
