method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,200,100,1,743.8713247776031,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,100,1,603.8544595241547,1309.0234375,2568.079052734375,1301.8721923828125,0.5844,0.583028426810995,0.8976516075603301
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,100,1,39.26604151725769,5656.84521484375,14079.89970703125,5656.900390625,0.4201,0.3590430536009003,0.8093702998194493
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,662.9174492359161,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,686.8942070007324,86.13249969482422,4.107666778564453,1.278977632522583,0.8864,0.8855743321262823,0.9899226506674932
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,39.13065814971924,86.3460693359375,13.16436071395874,5.489302158355713,0.8863,0.8854703551670886,0.9899252802953844
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,802.4241120815277,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,580.7205641269684,86.12722778320312,3.1201759696006777,0.12867216765880585,0.8864,0.885570419302877,0.9899258697038584
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,0,34.94187617301941,86.1274185180664,3.430785298347473,0.5693438649177551,0.8864,0.885570419302877,0.9899256276410965
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,0,835.6596081256866,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,0,589.9302694797516,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,0,10.399064540863037,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
baseline,0.0001,True,0,SGD,1.0,False,512,200,10,2,810.8540480136871,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,10,2,609.9275252819061,154.53054809570312,254.5596130371094,127.90337371826172,0.8818,0.8808345368094828,0.988513229153994
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,10,2,31.725415468215942,556.3233642578125,2230.2542724609375,548.9299926757812,0.8784,0.8771654107653579,0.9894165201462025
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,0,819.92098736763,86.12757110595703,3.1041245102882384,0.0,0.8864,0.885570419302877,0.9899262852304649
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,0,603.581294298172,87.0401840209961,25.959650611877443,12.86694049835205,0.8854,0.8845358704378168,0.9898568328181077
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,0,31.396504163742065,103.06665802001953,162.73123474121093,56.93430709838867,0.8872,0.88637536118559,0.9899011937608153
