method,lam,num_removes,remove_seed,remove_type,minibatch_size,sgd_seed,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,6000,0,class,6000,0,0.01,2,195.21140265464783,10.210426807403564,66.45960998535156,50.93723759651184,0.8302,0.8044203643081341,0.9885220084127313,0.12116666666666667,0.21614389772558346,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.1,4,197.07971715927124,19.78727149963379,66.48082733154297,51.35988607406616,0.8304,0.8046415789707275,0.9885258324765906,0.12166666666666667,0.2169390787518574,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.01,0,197.1294515132904,19.921396732330322,66.45975494384766,50.93952901363373,0.8302,0.8044203643081341,0.9885206606392307,0.12116666666666667,0.21614389772558346,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.1,0,197.34358096122742,19.72052001953125,66.47273254394531,51.425550270080564,0.8301,0.8043342070970901,0.9885143955006317,0.12166666666666667,0.2169390787518574,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.1,1,197.66025519371033,19.505767107009888,66.47417449951172,51.43694567680359,0.8304,0.8046347411598387,0.988526797385237,0.12083333333333333,0.21561338289962825,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.1,3,197.08074069023132,20.313392877578735,66.4773941040039,51.394748306274415,0.8304,0.8046192192666259,0.9885124347789906,0.12083333333333333,0.21561338289962825,nan,None,None,None
Guo,0.0001,6000,0,class,6000,0,0.01,4,197.0808231830597,20.742706298828125,66.4605712890625,50.933478236198425,0.8302,0.8044203643081341,0.9885221733774427,0.12116666666666667,0.21614389772558346,nan,None,None,None
