method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
baseline_Golatkar,0.0001,True,0.01,0,49500,0,None,99000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,0,377.05461287498474,377.05461287498474,10.233318328857422,83.7186508178711,0.5779727272727273,0.6745164687389135,0.6136139563336043,0.18985858585858587,0.0,nan,0.5806675849403122,0.6824090864938761,0.6142306956415206
baseline,0.0001,True,0.1,0,None,0,None,990000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,340.26055335998535,340.26055335998535,10.904176712036133,89218.28125,0.5360481818181818,0.6805321594926044,0.5423668964044275,0.0024626262626262626,0.0,nan,0.5961205387205387,0.7258332770813624,0.6316183174257411
baseline_Golatkar,0.0001,True,0.1,0,495000,0,None,990000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,1,349.8912546634674,349.8912546634674,10.820891380310059,11008.3955078125,0.5373490909090909,0.678299522869157,0.5442439000983806,0.0033141414141414144,0.0,nan,0.5973943883277216,0.7230887325591915,0.6326331765697844
baseline,0.0001,True,0.05,0,None,0,None,495000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,351.15232729911804,351.15232729911804,10.355633735656738,121290.3359375,0.5487827272727273,0.6877917483609254,0.580529124114464,0.013581818181818181,0.0,nan,0.5785499202551834,0.710045057177715,0.6164025708264609
baseline_Golatkar,0.0001,True,0.05,0,247500,0,None,495000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,1,362.6817367076874,362.6817367076874,10.359624862670898,1064.9427490234375,0.5529945454545454,0.6828689401102368,0.5811734674617326,0.01894141414141414,0.0,nan,0.5828291334396598,0.7043516868000803,0.6166958497127172
baseline,0.0001,True,0.01,0,None,0,None,99000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,374.53365755081177,374.53365755081177,10.224991798400879,114678.90625,0.58143,0.654885696960339,0.6133981233676093,0.2924040404040404,0.0,nan,0.583455463728191,0.6637410112117547,0.6136172478442501
baseline_Golatkar,0.0001,True,0.01,0,49500,0,None,99000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,1,384.2522985935211,384.2522985935211,10.234576225280762,918.8176879882812,0.5779436363636363,0.6746587245970567,0.6136403840542665,0.1895959595959596,0.0,nan,0.5806401387613509,0.6825544453851621,0.6142499916758093
baseline,0.0001,True,0.1,0,None,0,None,990000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,327.65376806259155,327.65376806259155,10.904176712036133,89218.28125,0.5360481818181818,0.6805321594926044,0.5423668964044275,0.0024626262626262626,0.0,nan,0.5961205387205387,0.7258332770813624,0.6316183174257411
baseline_Golatkar,0.0001,True,0.1,0,495000,0,None,990000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,2,336.7293176651001,336.7293176651001,10.823286056518555,12962.2890625,0.5373690909090909,0.6782117238797665,0.544239693134804,0.003331313131313131,0.0,nan,0.5974124579124579,0.7229899452374885,0.6326359587555583
baseline,0.0001,True,0.05,0,None,0,None,495000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,338.3308880329132,338.3308880329132,10.355633735656738,121290.3359375,0.5487827272727273,0.6877917483609254,0.580529124114464,0.013581818181818181,0.0,nan,0.5785499202551834,0.710045057177715,0.6164025708264609
baseline_Golatkar,0.0001,True,0.05,0,247500,0,None,495000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,2,346.9076313972473,346.9076313972473,10.36181354522705,3115.25,0.5530372727272728,0.6827443578699448,0.5811668636576371,0.019006060606060606,0.0,nan,0.5828707070707071,0.704201207367862,0.6167011791710779
baseline,0.0001,True,0.01,0,None,0,None,99000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,355.3954553604126,355.3954553604126,10.224991798400879,114678.90625,0.58143,0.654885696960339,0.6133981233676093,0.2924040404040404,0.0,nan,0.583455463728191,0.6637410112117547,0.6136172478442501
baseline_Golatkar,0.0001,True,0.01,0,49500,0,None,99000,2,targeted_informed,0,SGD,1.0,False,512,20,0.01,2,365.22457098960876,365.22457098960876,10.23657512664795,1233.3729248046875,0.5780672727272728,0.6744213779741318,0.6136520708547268,0.19043434343434343,0.0,nan,0.5807491072339557,0.6823204684713883,0.6142693528071482
baseline,0.0001,True,0.05,0,None,0,None,495000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,332.6705503463745,332.6705503463745,10.355633735656738,121290.3359375,0.5487827272727273,0.6877917483609254,0.580529124114464,0.013581818181818181,0.0,nan,0.5785499202551834,0.710045057177715,0.6164025708264609
baseline_Golatkar,0.0001,True,0.05,0,247500,0,None,495000,2,targeted_informed,0,SGD,1.0,False,512,20,0.1,0,342.7100157737732,342.7100157737732,10.3547945022583,2127.53662109375,0.5530445454545454,0.6828293384684362,0.5812359167130152,0.019123232323232323,0.0,nan,0.5828290271132376,0.704297086882095,0.6166820840156504
baseline,0.0001,True,0.01,0,None,0,None,99000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,349.3687837123871,349.3687837123871,10.224991798400879,114678.90625,0.58143,0.654885696960339,0.6133981233676093,0.2924040404040404,0.0,nan,0.583455463728191,0.6637410112117547,0.6136172478442501
baseline_Golatkar,0.0001,True,0.01,0,49500,0,None,99000,2,targeted_informed,0,SGD,1.0,False,512,20,0.1,0,359.7866268157959,359.7866268157959,10.231209754943848,603.9811401367188,0.5778645454545455,0.6743053855633544,0.6135964135606219,0.19213131313131313,0.0,nan,0.5805115804509744,0.6822760789181979,0.6141760064451869
baseline,0.0001,True,0.1,0,None,0,None,990000,None,targeted_informed,0,SGD,1.0,False,512,20,None,None,319.075626373291,319.075626373291,10.904176712036133,89218.28125,0.5360481818181818,0.6805321594926044,0.5423668964044275,0.0024626262626262626,0.0,nan,0.5961205387205387,0.7258332770813624,0.6316183174257411
