lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff_orig,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
0.0001,True,0.915,1,None,-1,None,9058500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,24.802191019058228,10.081066131591797,6863.4736328125,0.3090187609195709,0.5765027272727272,0.671384946603678,0.6123626951690655,0.574420930617652,0.6787905197948649,0.6122117501598596,0.5752299465240641,0.6797378008024385,0.6122620429529743
0.0001,True,0.91,1,None,-1,None,9009000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,25.634857416152954,10.1095609664917,24025.861328125,0.29625189304351807,0.5689563636363636,0.6913569156782104,0.6129455041725809,0.5650699300699301,0.6942527203715333,0.612799800493923,0.566,0.6951449483307213,0.6126154976408899
0.0001,True,0.905,1,None,-1,None,8959500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,26.86233949661255,10.15395450592041,14624.39453125,0.249354749917984,0.5833318181818182,0.6280427681632818,0.6144352696538632,0.5833732909202523,0.6407012086687952,0.6143831803599169,0.5832227538543328,0.6412377229456327,0.6142154392235454
0.0001,True,0.915,0,None,-1,None,9058500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,25.018249034881592,10.119193077087402,7175.73486328125,0.25298282504081726,0.58212,0.6410335704222934,0.6132405335021487,0.5812496550201468,0.6527664624351577,0.6131929632659778,0.5813036244800951,0.6528687616073144,0.6128027902237814
0.0001,True,0.9,0,None,-1,None,8910000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,28.666417360305786,10.192631721496582,14994.763671875,0.25504931807518005,0.5818590909090909,0.6254618059881487,0.613167061087933,0.5819994388327722,0.6382948472152796,0.6131346776415425,0.5819080808080808,0.6381988568471604,0.612547331663283
0.0001,True,0.91,0,None,-1,None,9009000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,30.12006902694702,10.155754089355469,818.1738891601562,0.23036319017410278,0.5803663636363636,0.6600713000663514,0.6134725629807329,0.5787622377622378,0.6697350966231693,0.6134433932060009,0.5787362514029181,0.6697281772778308,0.612748466767576
0.0001,True,0.9,1,None,-1,None,8910000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,29.522998332977295,10.190146446228027,2003.6566162109375,0.22430987656116486,0.5822618181818182,0.6586786939360042,0.6145606890066263,0.5808271604938272,0.6685350838080849,0.6145188003205166,0.5809868686868687,0.6690336205857972,0.6142577757914053
0.0001,True,0.905,0,None,-1,None,8959500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,28.20721411705017,10.179662704467773,7857.86474609375,0.2484734207391739,0.5787063636363636,0.6727264124360616,0.6136896074784003,0.5765452313187119,0.6807493599955099,0.6136935195425767,0.5765380116959065,0.6807307824887969,0.6130836727272674
0.0001,True,0.85,0,None,-1,None,8415000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,44.19129991531372,10.288565635681152,28959.560546875,0.24080762267112732,0.5752472727272727,0.6884074788393875,0.6149234671427724,0.5712793820558526,0.6927710391924962,0.6149182147949687,0.5716121212121212,0.693059045589819,0.6150995047384596
0.0001,True,0.85,1,None,-1,None,8415000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,43.888097047805786,10.243371963500977,25870.859375,0.2295743077993393,0.5742872727272728,0.6853691311241903,0.6145577582675327,0.5714083184789067,0.6903152343806684,0.6144826561979493,0.5718861952861953,0.6909730948090689,0.6143297722342312
0.0001,True,0.8,1,None,-1,None,7920000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,58.35324478149414,10.24830150604248,98802.5703125,0.24411188066005707,0.5620890909090909,0.4960506520870343,0.6134374133938786,0.5657209595959596,0.5162327962908683,0.6134798331369424,0.5652116161616162,0.5165032229149618,0.6128689623463567
0.0001,True,0.8,0,None,-1,None,7920000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,59.204320192337036,10.270320892333984,23224.58203125,0.17224043607711792,0.5823618181818182,0.6336781772339234,0.6135852084818172,0.5822871212121212,0.6458549124069807,0.6135223687603205,0.5824742424242424,0.6460778131257152,0.6135205256274108
0.0001,True,0.75,1,None,-1,None,7425000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,76.10274052619934,10.247503280639648,39740.0703125,0.1927424967288971,0.5764181818181818,0.6838885896223407,0.6143573226881334,0.5731066666666667,0.689302050664514,0.6144341115103451,0.5732642424242425,0.6896417970709398,0.6139767061129433
0.0001,True,0.75,0,None,-1,None,7425000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,77.38438391685486,10.255127906799316,12864.3603515625,0.13205815851688385,0.5813163636363636,0.6680036331656117,0.6140722248603843,0.5792133333333334,0.6768672659966084,0.6140770933202048,0.5792036363636364,0.6768258606089249,0.6139293898108282
0.0001,True,0.7,0,None,-1,None,6930000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,90.61904263496399,10.258329391479492,13490.8974609375,0.15400874614715576,0.5799972727272728,0.663042328756233,0.612404980161107,0.578304329004329,0.6719941203982693,0.6123133326500113,0.5783134680134681,0.6719413081966672,0.6124072997384096
0.0001,True,0.7,1,None,-1,None,6930000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,92.4408609867096,10.252909660339355,38617.15234375,0.19590771198272705,0.5831781818181818,0.6315253992108202,0.6143846961971513,0.5833976911976912,0.645064659231564,0.6144064193527997,0.5832484848484848,0.6452104999750623,0.6142725891218074
0.0001,True,0.92,1,None,-1,None,9108000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,23.33459210395813,10.035077095031738,3281.259765625,0.3454858958721161,0.5802954545454545,0.6503884404602068,0.6123618844262675,0.5784658541941151,0.6604132939804256,0.6122454634329972,0.5788270202020201,0.6610508603056313,0.6120560635732575
0.0001,True,0.925,1,None,-1,None,9157500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,19.744924783706665,9.984308242797852,4635.92626953125,0.3713255226612091,0.5812781818181818,0.6468335756304325,0.6126569669496186,0.5799565383565384,0.6571647266166801,0.6125666133089229,0.5803245791245791,0.6578300949285428,0.6125377351606486
0.0001,True,0.935,0,None,-1,None,9256500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,19.40203046798706,9.852851867675781,6495.91455078125,0.5026828646659851,0.5767863636363636,0.6744025508694652,0.6121996783449923,0.5746241019823908,0.6822686588361366,0.6121447709785172,0.5747195027195027,0.6822528434555241,0.6121335503205446
0.0001,True,0.92,0,None,-1,None,9108000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,23.7463116645813,10.071928024291992,4791.4140625,0.30062761902809143,0.5779645454545455,0.6673111583292425,0.6126049360542383,0.5761948836187967,0.6759304260950418,0.6125431783414715,0.5764078282828283,0.6760355015300885,0.6121303766318049
0.0001,True,0.925,0,None,-1,None,9157500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,21.694841861724854,10.008008003234863,3855.06103515625,0.346932977437973,0.5795009090909091,0.6694362000839006,0.613731032269551,0.5774549822549823,0.6779251669198125,0.6136830844411698,0.577606734006734,0.6780575484180908,0.6134838725060441
0.0001,True,0.93,1,None,-1,None,9207000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,23.861636877059937,9.907418251037598,5295.52197265625,0.451481431722641,0.5769745454545454,0.6696024106993244,0.6115631611159029,0.5748267622461171,0.6773973166068061,0.6114834044558852,0.5752380952380952,0.6778042175730019,0.6116370936585089
0.0001,True,0.65,1,None,-1,None,6435000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,102.42630362510681,10.25664234161377,31538.431640625,0.17578385770320892,0.5780254545454545,0.6713384455254158,0.6132053940773023,0.57625439005439,0.6792048175223528,0.6131486121495511,0.5760536796536797,0.6792142903937283,0.6129240662786778
0.0001,True,0.93,0,None,-1,None,9207000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,21.417745351791382,9.928302764892578,10683.958984375,0.4199548661708832,0.57529,0.6813211249985505,0.6124240762698675,0.5723842728358858,0.6873563762398159,0.6123496746366813,0.5725151515151515,0.6873445281836037,0.6121946465564528
0.0001,True,0.935,1,None,-1,None,9256500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,19.855212450027466,9.811795234680176,3495.45703125,0.5350684523582458,0.5803236363636364,0.6477538052087181,0.6116793947580563,0.5790331118673364,0.6580297985202717,0.6115436739889016,0.5794856254856254,0.6586135421174208,0.6118761781034021
0.0001,True,0.9400000000000001,0,None,-1,None,9306000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,18.128547430038452,9.723553657531738,14513.0908203125,0.6224067211151123,0.5785627272727273,0.5969929714293165,0.6119075806121347,0.5806698903932946,0.6140221737999412,0.6118627499498547,0.5805521885521886,0.6138399637943968,0.6114032449826867
0.0001,True,0.9400000000000001,1,None,-1,None,9306000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,17.04166889190674,9.698553085327148,6217.6064453125,0.6428263783454895,0.5807390909090909,0.6364412491574927,0.6105360713792422,0.5796558134536858,0.6478547279885744,0.6103878951056867,0.5802053872053872,0.6488014422128955,0.6107151966773914
0.0001,True,0.6,1,None,-1,None,5940000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,118.90902924537659,10.267718315124512,60958.85546875,0.16005901992321014,0.57669,0.6809517708152759,0.613618584663873,0.5737681818181818,0.6871576726851979,0.6134890083639871,0.5738164141414142,0.6872972636956497,0.6136205748440775
0.0001,True,0.9450000000000001,0,None,-1,None,9355500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,16.787952661514282,9.560047149658203,3133.718505859375,0.7648518085479736,0.5783081818181818,0.6701346097639547,0.6122897342343023,0.5762262840040617,0.6786196113602827,0.6122783302935065,0.5759944903581268,0.6783572285371565,0.6113526324226051
0.0001,True,0.65,0,None,-1,None,6435000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,123.7685980796814,10.256912231445312,31516.455078125,0.18487414717674255,0.57872,0.6723244059656575,0.6135880455665427,0.5766247086247086,0.6802031922633311,0.6135178716351584,0.5766816738816739,0.680184075377934,0.6135699734575819
0.0001,True,0.6,0,None,-1,None,5940000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,127.20406699180603,10.25025463104248,24357.787109375,0.13716952502727509,0.5804745454545455,0.6697586081540237,0.614472727157859,0.5786808080808081,0.6785870052692171,0.614472820019995,0.5783939393939393,0.678264901320772,0.6143049944705715
0.0001,True,0.9450000000000001,1,None,-1,None,9355500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,17.276875257492065,9.54966926574707,10655.060546875,0.7985914349555969,0.5712245454545455,0.6861841391759333,0.6107352998460995,0.568070760515205,0.6909421089592596,0.6106461974348677,0.569048668503214,0.6918319773588375,0.6106372974615003
0.0001,True,0.55,0,None,-1,None,5445000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,139.03479933738708,10.24759578704834,111719.234375,0.1827411651611328,0.57187,0.6929973409439225,0.6157294748347579,0.5672354453627181,0.6960877996121784,0.6158166839043965,0.5668374859708193,0.6957350954283296,0.6156549601878257
0.0001,True,0.55,1,None,-1,None,5445000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,143.2245807647705,10.250943183898926,58743.0625,0.15215879678726196,0.5835463636363636,0.6303139957245127,0.6144539546541526,0.5834732782369146,0.6433672723270095,0.6142941441934855,0.5833627384960718,0.6434274111051025,0.6143819916672659
0.0001,True,0.95,0,None,-1,None,9405000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,14.275498151779175,9.403240203857422,8439.0390625,0.933307409286499,0.5800054545454545,0.618494503607008,0.6103381636433449,0.5804644338118022,0.6329021641077855,0.6102562063381293,0.579919191919192,0.6322913093145559,0.6099349066605864
0.0001,True,0.5,0,None,-1,None,4950000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,149.6074161529541,10.240382194519043,42093.8671875,0.17758044600486755,0.57965,0.6732014364337091,0.6142615265779776,0.5776036363636363,0.6811798618019422,0.6143826197947057,0.577360808080808,0.680896342683659,0.6140714821615136
0.0001,True,0.95,1,None,-1,None,9405000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,14.317886114120483,9.365370750427246,1184.1328125,0.977219820022583,0.5781063636363636,0.6521401174866521,0.6091075819664611,0.5766427432216906,0.6618601941889387,0.6089945309349446,0.5776444444444444,0.6630988984072348,0.6094196053788834
0.0001,True,0.5,1,None,-1,None,4950000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,150.78822135925293,10.2494478225708,27559.015625,0.16838586330413818,0.5820427272727273,0.6721831284684368,0.6155022066833415,0.5796319191919191,0.6805757803229516,0.6155501514046242,0.5797519191919192,0.6807571365212174,0.615464067965576
0.0001,True,0.9550000000000001,0,None,-1,None,9454500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,13.999497413635254,9.153794288635254,6627.46435546875,1.1903454065322876,0.5731536363636364,0.6811068089218998,0.6096026492167714,0.5703222803955789,0.6873287572651406,0.6094949561700425,0.5702065095398429,0.6871381769756784,0.609060103257483
0.0001,True,0.9550000000000001,1,None,-1,None,9454500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,13.662079572677612,9.120711326599121,5136.802734375,1.225338339805603,0.5729763636363636,0.6755309889781967,0.608699644049943,0.5707688402348088,0.6831435187151612,0.6085711621391238,0.5717037037037037,0.6841138081631167,0.6090174504377913
0.0001,True,0.96,1,None,-1,None,9504000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,11.100855350494385,8.798534393310547,9430.7685546875,1.547149658203125,0.5756490909090909,0.5960472365444561,0.6061604218670722,0.5771021675084175,0.6119928828405541,0.6060279291603415,0.5774848484848485,0.612957848131133,0.6062707419471707
0.0001,True,0.965,0,None,-1,None,9553500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,10.388135433197021,8.518404006958008,1190.0369873046875,1.8609731197357178,0.5757927272727272,0.6476433694327444,0.6052366204440478,0.5743167425550845,0.6582361732072097,0.6051432107951922,0.5739191919191919,0.6578794304054132,0.6048330640831219
0.0001,True,0.97,1,None,-1,None,9603000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,9.752116680145264,7.949540615081787,4399.90478515625,2.426107168197632,0.5676418181818181,0.677345078229202,0.6026745619411901,0.5657647610121836,0.6845570151885326,0.6025429490697386,0.5664343434343434,0.6852237087520564,0.6034703314027104
0.0001,True,0.96,0,None,-1,None,9504000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,11.767951011657715,8.899858474731445,8812.7431640625,1.4660296440124512,0.5768090909090909,0.6008851499885113,0.6077912129363907,0.5783342803030304,0.6174255843491933,0.6076980309275284,0.5785656565656566,0.6175661802449219,0.6077316293311215
0.0001,True,0.985,0,None,-1,None,9751500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,3.96844744682312,5.6683478355407715,8700.853515625,4.83773136138916,0.53732,0.6947189988159406,0.5899000564749066,0.5351189047838794,0.6942220749676941,0.5897420433113635,0.5362087542087542,0.6951375517340593,0.5888156967437261
0.0001,True,0.965,1,None,-1,None,9553500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,10.735990762710571,8.418922424316406,2503.23828125,1.9350224733352661,0.5718881818181818,0.6668194878086225,0.6050054552155639,0.5700481498927095,0.6755843465534719,0.6048682852370929,0.5707561327561328,0.6762754030423797,0.6053702530139475
0.0001,True,0.97,0,None,-1,None,9603000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,8.90884804725647,8.035682678222656,5362.67578125,2.353275775909424,0.5683836363636363,0.6837208620671278,0.6041954305726355,0.565319587628866,0.6896596485932504,0.604137532009675,0.5650875420875421,0.6894326457696682,0.6033967740865966
0.0001,True,0.975,0,None,-1,None,9652500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,7.271411180496216,7.428610324859619,2312.83935546875,2.9931042194366455,0.5696390909090909,0.6734654884494754,0.601421385053972,0.5673967365967366,0.6819613322472332,0.6014040702728054,0.5672565656565657,0.6819971377842174,0.6002472837029652
0.0001,True,0.975,1,None,-1,None,9652500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,7.651746511459351,7.354639530181885,314.2617492675781,3.0483319759368896,0.57031,0.6548334446988202,0.5991148469498934,0.5680053872053872,0.6644284110971422,0.5989685612896963,0.5698343434343435,0.6658212749929376,0.6002971099633586
0.0001,True,0.98,0,None,-1,None,9702000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,6.121164083480835,6.691867828369141,2918.85546875,3.774925708770752,0.5651390909090909,0.6795795757576163,0.5971127566467401,0.5625013399299114,0.6868391203425327,0.5970592479169448,0.5636565656565656,0.6877358354176004,0.5958351774968391
0.0001,True,0.98,1,None,-1,None,9702000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,6.369638681411743,6.57534122467041,1023.4312133789062,3.872652530670166,0.5656518181818182,0.655573201228677,0.5936050973105582,0.563228612657184,0.6649286147260565,0.5933887370942549,0.563969696969697,0.6652371498588577,0.5949663036845116
0.0001,True,0.985,1,None,-1,None,9751500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,4.338567018508911,5.658514499664307,2427.324951171875,4.842830181121826,0.5654863636363636,0.6056918181660688,0.5874916966011919,0.5657199405219709,0.6200640140444761,0.5873126330281564,0.5683299663299664,0.62253940775024,0.5891397108592851
0.0001,True,0.99,0,None,-1,None,9801000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,3.1446402072906494,4.366860389709473,728.8948974609375,6.1954345703125,0.5604090909090909,0.6371515401643343,0.5806992593970906,0.5592348739924498,0.6463830078087429,0.5806557135719108,0.5574343434343434,0.6454030430560052,0.5786101618249726
0.0001,True,0.99,1,None,-1,None,9801000,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,4.00233006477356,4.492033004760742,1753.7039794921875,6.143283367156982,0.5501881818181819,0.6703505140352851,0.5781910085734542,0.5488231813080298,0.6767216680461973,0.577932420530818,0.5518080808080809,0.6792125449142924,0.581575664456665
0.0001,True,0.995,0,None,-1,None,9850500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,1.6285350322723389,2.8848392963409424,727.4922485351562,7.83351993560791,0.5478718181818182,0.6778134581635781,0.5685320930716394,0.546489619816253,0.6855835768539946,0.5684530648303782,0.5487474747474748,0.6871261888420434,0.5670293805445811
0.0001,True,0.995,1,None,-1,None,9850500,None,uniform_random,0,SGD,1.0,False,512,20,171.27780747413635,1.639495849609375,3.0721120834350586,282.42071533203125,7.8792314529418945,0.5496245454545454,0.6205438626456911,0.5650422281317736,0.5495350489822851,0.6334395324605933,0.5648038514126734,0.5551313131313131,0.6386149175350784,0.5716398477480256
0.0001,True,0.95,0,None,-1,None,9405000,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,14.138485670089722,10.12839126586914,3814.2236328125,4.707469940185547,0.5589272727272727,0.6337855096267357,0.5805212492498313,0.556738543328017,0.6363021709290131,0.577305510392214,0.6096444444444444,0.7490473654817721,0.619417598691653
0.0001,True,0.9550000000000001,0,None,-1,None,9454500,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,12.453083038330078,9.963919639587402,964.7997436523438,4.825735092163086,0.5583327272727273,0.6527251803086512,0.5791160733119263,0.5560239039610767,0.6554685539087458,0.5761544944213073,0.6078518518518519,0.7510381604111028,0.619660066146581
0.0001,True,0.925,0,None,-1,None,9157500,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,22.266752243041992,10.574691772460938,7128.5556640625,4.278461456298828,0.5623818181818182,0.6596260397604979,0.5857125404690701,0.5586502866502866,0.6598651363742478,0.5816720318731226,0.5995218855218856,0.7433065292363206,0.6214356183056442
0.0001,True,0.915,0,None,-1,None,9058500,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,24.659860610961914,10.600866317749023,4097.32861328125,4.124946594238281,0.5624245454545455,0.6340571859535642,0.5869913508279239,0.559531600154551,0.6335181334438724,0.5826334685488703,0.6027855020796197,0.7402146018146181,0.6203903277998835
0.0001,True,0.97,0,None,-1,None,9603000,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,8.674306869506836,9.023908615112305,6041.0322265625,5.2997355461120605,0.5517763636363636,0.6794372665896867,0.5717859387503376,0.5485593043840467,0.6805744110128232,0.5695172827538431,0.6091515151515151,0.7558029459653905,0.6166380306841837
0.0001,True,0.9450000000000001,0,None,-1,None,9355500,None,uniform_informed,0,SGD,1.0,False,512,20,171.27780747413635,16.1692476272583,10.272917747497559,3585.367431640625,4.585319995880127,0.5598581818181818,0.6553794729289569,0.5826424193370893,0.5569876543209876,0.6572664586196956,0.5793297622132776,0.6042901744719926,0.7479658439583577,0.6201863048051455
