lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,training_time,removal_time,norm,grad_residual,model_diff_orig,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
0.0001,True,0.915,1,None,-1,None,366000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,40.797956466674805,25.993125915527344,387.43865966796875,15.044004440307617,0.8566,0.8602475392261963,0.9308083513547645,0.8576475409836065,0.8614360902855531,0.931091380443823,0.8665882352941177,0.8706070287539935,0.9386411048928021
0.0001,True,0.915,0,None,-1,None,366000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,40.74532985687256,26.064699172973633,218.0144805908203,15.011347770690918,0.85625,0.8576436684855266,0.9295412307283969,0.857827868852459,0.8594989104989025,0.929799552368355,0.8671764705882353,0.8688810173625224,0.93886795041067
0.0001,True,0.91,0,None,-1,None,364000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,43.28399419784546,26.797636032104492,136.57058715820312,14.279085159301758,0.85889,0.859203975135448,0.9310405349428335,0.8599945054945055,0.8606781014035527,0.9312770560053496,0.8694166666666666,0.8701130052772635,0.9396750694193725
0.0001,True,0.91,1,None,-1,None,364000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,43.21845316886902,26.67388153076172,172.47433471679688,14.372869491577148,0.85938,0.8592448750800769,0.9317962707549794,0.8612527472527473,0.8612984730308689,0.9321320458516873,0.8688888888888889,0.8694184695401982,0.9386389401500081
0.0001,True,0.9,0,None,-1,None,360000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,46.63568735122681,28.111631393432617,310.77020263671875,13.072575569152832,0.86065,0.8622520091337742,0.9328361717972992,0.86185,0.8637260382073455,0.9330259447982387,0.86925,0.870857820139266,0.9407612033302639
0.0001,True,0.905,1,None,-1,None,362000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,44.996034383773804,27.388681411743164,507.47894287109375,13.69137954711914,0.86056,0.8581196581196581,0.9327453871237635,0.8614668508287293,0.8593031509428138,0.933010548307643,0.8687631578947368,0.867455149501661,0.9395695882700836
0.0001,True,0.905,0,None,-1,None,362000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,44.580270290374756,27.495792388916016,168.47088623046875,13.64837646484375,0.85952,0.8585382554931221,0.9320507009610677,0.8611602209944751,0.8605778833137303,0.9322434613103676,0.8697894736842106,0.869411454209554,0.9406032990635942
0.0001,True,0.9,1,None,-1,None,360000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,46.95989680290222,27.992618560791016,691.297607421875,13.125747680664062,0.85688,0.8618079292431879,0.9332514427336686,0.8580611111111112,0.8630359497796695,0.9335107843743538,0.864625,0.8701594533029613,0.939627540948142
0.0001,True,0.85,0,None,-1,None,340000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,69.16247010231018,32.64105987548828,836.1950073242188,8.835465431213379,0.86706,0.8693413008865214,0.9378277196404529,0.8674029411764705,0.8699912621947176,0.9379139214766951,0.8737,0.8759616328935739,0.9437121307660452
0.0001,True,0.85,1,None,-1,None,340000,None,uniform_random,0,SGD,1.0,False,512,60,117.56164836883545,70.4166669845581,32.59856414794922,1780.5654296875,8.844738960266113,0.86084,0.854157496489132,0.9377931834124786,0.8622411764705883,0.8558005504688836,0.9380890618626001,0.8670833333333333,0.8613212304589005,0.9431868329707422
