method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
baseline_Golatkar,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,0.1,2,751.6187477111816,751.6187477111816,38.33036804199219,801.5816650390625,0.83757,0.8541934093948889,0.9451493895710055,0.7230375,0.0,nan,0.8678875,0.9002279775137706,0.9465944319250376
baseline,0.0001,True,0.25,0,None,0,None,100000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,177.2424578666687,177.2424578666687,37.64500427246094,956.983154296875,0.80707,0.8336910703664434,0.9448034506907952,0.64823,0.0,nan,0.8618133333333333,0.9033132291273096,0.946161071890388
baseline_Golatkar,0.0001,True,0.25,0,25000,0,None,100000,4,targeted_informed,0,SGD,1.0,False,512,60,1,1,671.3702898025513,671.3702898025513,40.959999084472656,1504.85498046875,0.79698,0.8252268383808818,0.9317063650821558,0.6342,0.0,nan,0.85219,0.8965936994983945,0.933705873505513
baseline,0.0001,True,0.1,0,None,0,None,40000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,247.63924908638,247.63924908638,39.01668167114258,4944.71533203125,0.86092,0.869872754491018,0.9455902561281074,0.796275,0.0,nan,0.8704805555555556,0.8888422688793158,0.9466863351557279
baseline_Golatkar,0.0001,True,0.1,0,10000,0,None,40000,4,targeted_informed,0,SGD,1.0,False,512,60,1,0,778.1756916046143,778.1756916046143,42.186012268066406,1190.470947265625,0.85606,0.8630681710078199,0.9347306463318237,0.80545,0.0,nan,0.864,0.8813493602171385,0.9359194423521361
baseline,0.0001,True,0.1,0,None,0,None,40000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,232.8088095188141,232.8088095188141,39.01668167114258,4944.71533203125,0.86092,0.869872754491018,0.9455902561281074,0.796275,0.0,nan,0.8704805555555556,0.8888422688793158,0.9466863351557279
baseline_Golatkar,0.0001,True,0.1,0,10000,0,None,40000,4,targeted_informed,0,SGD,1.0,False,512,60,1,1,804.3866183757782,804.3866183757782,41.91696548461914,1589.6796875,0.85802,0.864081945242198,0.9344636169155298,0.8129,0.0,nan,0.8648694444444445,0.881643516997915,0.9361919496079489
baseline,0.0001,True,0.2,0,None,0,None,80000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,211.72123217582703,211.72123217582703,38.351295471191406,1081.690185546875,0.83177,0.8501331812958228,0.9451730547901744,0.7080875,0.0,nan,0.8640875,0.8978898040062733,0.9465865206656866
baseline_Golatkar,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,1,1,765.1517345905304,765.1517345905304,41.508697509765625,1511.4332275390625,0.8268,0.8447806137080585,0.932931054274154,0.710525,0.0,nan,0.857128125,0.8920797758458302,0.9350686185052798
baseline,0.0001,True,0.25,0,None,0,None,100000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,160.46370887756348,160.46370887756348,37.64500427246094,956.983154296875,0.80707,0.8336910703664434,0.9448034506907952,0.64823,0.0,nan,0.8618133333333333,0.9033132291273096,0.946161071890388
baseline_Golatkar,0.0001,True,0.25,0,25000,0,None,100000,4,targeted_informed,0,SGD,1.0,False,512,60,1,2,658.6541955471039,658.6541955471039,40.99003219604492,7349.77490234375,0.8169,0.8382165830211353,0.9335541663788747,0.68952,0.0,nan,0.8636966666666667,0.902927302897866,0.9349020603539192
baseline,0.0001,True,0.2,0,None,0,None,80000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,182.97798919677734,182.97798919677734,38.351295471191406,1081.690185546875,0.83177,0.8501331812958228,0.9451730547901744,0.7080875,0.0,nan,0.8640875,0.8978898040062733,0.9465865206656866
baseline_Golatkar,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,1,2,692.5998375415802,692.5998375415802,41.58231735229492,7707.5283203125,0.84296,0.8554225741115816,0.934691199899872,0.760075,0.0,nan,0.867321875,0.8976744970729368,0.9362108448952435
baseline,0.0001,True,0.1,0,None,0,None,40000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,191.6818642616272,191.6818642616272,39.01668167114258,4944.71533203125,0.86092,0.869872754491018,0.9455902561281074,0.796275,0.0,nan,0.8704805555555556,0.8888422688793158,0.9466863351557279
baseline_Golatkar,0.0001,True,0.1,0,10000,0,None,40000,4,targeted_informed,0,SGD,1.0,False,512,60,1,2,721.9781980514526,721.9781980514526,42.06227493286133,8395.9931640625,0.86518,0.8673370987739357,0.9361035548438794,0.851425,0.0,nan,0.8689083333333333,0.8823249261304842,0.9373533949471339
baseline,0.0001,True,0.25,0,None,0,None,100000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,178.07797503471375,178.07797503471375,37.64500427246094,956.983154296875,0.80707,0.8336910703664434,0.9448034506907952,0.64823,0.0,nan,0.8618133333333333,0.9033132291273096,0.946161071890388
baseline_Golatkar,0.0001,True,0.25,0,25000,0,None,100000,4,targeted_informed,0,SGD,1.0,False,512,60,10,0,665.3417346477509,665.3417346477509,169.65638732910156,8335.986328125,0.62946,0.6754034024212905,0.6875369151049012,0.49064,0.0,nan,0.67782,0.7612962816612004,0.6900075839755616
baseline,0.0001,True,0.2,0,None,0,None,80000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,189.597660779953,189.597660779953,38.351295471191406,1081.690185546875,0.83177,0.8501331812958228,0.9451730547901744,0.7080875,0.0,nan,0.8640875,0.8978898040062733,0.9465865206656866
baseline_Golatkar,0.0001,True,0.2,0,20000,0,None,80000,4,targeted_informed,0,SGD,1.0,False,512,60,10,0,693.1814017295837,693.1814017295837,166.31399536132812,8257.52734375,0.63903,0.6734928316222695,0.694751386348623,0.536075,0.0,nan,0.667053125,0.7366180574954453,0.6972433699091509
baseline,0.0001,True,0.2,0,None,0,None,80000,None,targeted_informed,0,SGD,1.0,False,512,60,None,None,194.43883776664734,194.43883776664734,38.351295471191406,1081.690185546875,0.83177,0.8501331812958228,0.9451730547901744,0.7080875,0.0,nan,0.8640875,0.8978898040062733,0.9465865206656866
