strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.718200445175171,4.6831581592559814,0,0.03504228591918945,0.87818,0.876,0.876,0.009680046008689464,0.0003213157491418413,0.00017000000000000348,500,False,0.492000013589859,0.492000013589859,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.7270872592926025,4.691316366195679,0,0.03577089309692383,0.87822,0.884,0.892,0.011957431543706888,0.0003969104145609973,0.00021000000000004349,1000,False,0.5099999904632568,0.5009999871253967,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.724283695220947,4.689394950866699,0,0.03488874435424805,0.87833,0.888,0.894,0.018219706890470977,0.0006047779900427388,0.000320000000000098,1500,False,0.5339999794960022,0.5120000243186951,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.8019819259643555,4.767235040664673,0,0.03474688529968262,0.87831,0.8865,0.882,0.01708116971850676,0.0005669858221122226,0.000300000000000078,2000,False,0.5099999904632568,0.5115000009536743,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.796426057815552,4.761608362197876,0,0.03481769561767578,0.87832,0.8832,0.874,0.017650441545725034,0.0005858820136658356,0.00031000000000003247,2500,False,0.5040000081062317,0.5099999904632568,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.801659107208252,4.766744375228882,0,0.03491473197937012,0.87822,0.8803333333333333,0.864,0.011957431543706888,0.0003969104145609973,0.00021000000000004349,3000,False,0.5040000081062317,0.5090000033378601,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.786958932876587,4.752012014389038,0,0.03494691848754883,0.87826,0.8805714285714286,0.882,0.014234713341347485,0.00047250163656129777,0.0002500000000000835,3500,False,0.4659999907016754,0.5028571486473083,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.8033318519592285,4.768186092376709,0,0.03514575958251953,0.87823,0.879,0.87,0.012526761718216074,0.0004158085428722946,0.00021999999999999797,4000,False,0.5139999985694885,0.5042499899864197,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.852579355239868,4.817674398422241,0,0.03490495681762695,0.87822,0.8773333333333333,0.864,0.011957431543706888,0.0003969104145609973,0.00021000000000004349,4500,False,0.4659999907016754,0.5,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.781522750854492,4.74666953086853,0,0.034853219985961914,0.8783,0.878,0.882,0.016511891408692796,0.0005480894153778046,0.00029000000000001247,5000,False,0.49399998784065247,0.49939998984336853,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.800768613815308,4.764890670776367,0,0.03587794303894043,0.87824,0.8794545454545455,0.892,0.013096085409256282,0.00043470645597379944,0.0002300000000000635,5500,False,0.5299999713897705,0.5021818280220032,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.780354976654053,4.742939233779907,0,0.03741574287414551,0.87826,0.8805,0.896,0.014234713341347485,0.00047250163656129777,0.0002500000000000835,6000,False,0.49399998784065247,0.5015000104904175,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.761395692825317,4.726555824279785,0,0.03483986854553223,0.87827,0.88,0.864,0.01480401758261997,0.0004913989040546433,0.000260000000000038,6500,False,0.5180000066757202,0.5027692317962646,5,0.03319361796972933
golatkar_disparity_thresh_v2,0.0001,True,0.25,500,0,0,uniform_informed,0,SGD,1.0,False,512,60,0.0,0,4.7666730880737305,4.732029914855957,0,0.03464317321777344,0.87825,0.8807142857142857,0.89,0.013665402616925627,0.0004536041538687687,0.00024000000000001798,7000,False,0.5059999823570251,0.503000020980835,5,0.03319361796972933
