,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
35,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,36000,0.0702650339808315,0.7196309937695776,False,0.4921111111111111,0.468,0.19930541466267174
36,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,37000,0.05895202897954732,0.7192351382052253,False,0.4875405405405405,0.438,0.22681692292999223
37,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,38000,0.06148760602809489,0.7182713159615848,False,0.48376315789473684,0.456,0.2938646788990819
38,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,39000,0.058655089989770204,0.7174107603869058,False,0.4794871794871795,0.452,0.3538045946785868
39,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,40000,0.058402021997608244,0.7163264603628102,False,0.473575,0.393,0.4294309740547118
40,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,41000,0.058485881017986685,0.7154486936766377,False,0.46814634146341466,0.407,0.49073586441326766
41,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,42000,91.38409093802329,0.714243915872087,True,0.46354761904761904,0.401,0.0
42,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,43000,0.07566483301343396,0.7129702936215621,False,0.4583720930232558,0.423,0.08923833871979338
43,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,44000,0.05640207102987915,0.7122818491618189,False,0.45284090909090907,0.374,0.13754162443897197
44,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,45000,0.059500707022380084,0.7115245602561013,False,0.44808888888888887,0.388,0.1907291163689043
45,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,46000,0.056658165995031595,0.7106123713469416,False,0.4420217391304348,0.379,0.2548709338422724
46,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,47000,0.055867385992314667,0.7097001824377819,False,0.4361914893617021,0.38,0.3190949307418925
47,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,48000,0.05645808600820601,0.7089601046435579,False,0.43083333333333335,0.385,0.3712616850685101
48,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,49000,0.05635431199334562,0.7078758046194623,False,0.4264081632653061,0.391,0.4477900953671888
49,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,50000,95.4930065330118,0.7081683935148532,True,0.42484,0.377,0.0
50,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,51000,0.09222334099467844,0.7061030601356235,False,0.4162941176470588,0.374,0.14603514579175528
51,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,52000,0.07955763395875692,0.7050703934460087,False,0.4118269230769231,0.395,0.21921278254091783
52,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,53000,0.06357408303301781,0.7045368489897078,False,0.4069811320754717,0.373,0.2570631449421859
53,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,54000,0.06620639300672337,0.7034009156311315,False,0.4021851851851852,0.375,0.3377430957751589
54,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,55000,0.06341506098397076,0.7025059378334653,False,0.3982909090909091,0.41,0.4014006319924842
55,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,56000,0.06466786499368027,0.7017830711507349,False,0.3929285714285714,0.343,0.4528753311116798
56,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,57000,88.30551907798508,0.7010602044680045,True,0.3899298245614035,0.368,0.0
57,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,58000,0.08026612602407113,0.7003545488967677,False,0.38425862068965516,0.379,0.05035308566165303
58,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,59000,0.06506170600187033,0.6996488933255309,False,0.3793050847457627,0.355,0.10075690553425976
59,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,60000,0.06532300502294675,0.6987539155278648,False,0.37385,0.331,0.16475679929179018
60,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,61000,0.06352428195532411,0.6974458710543527,False,0.36878688524590164,0.37,0.2584424534803549
61,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,62000,0.063133932009805,0.6968779043750646,False,0.3634193548387097,0.347,0.2991763416766158
62,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,63000,0.06438172701746225,0.6959485043544112,False,0.3580952380952381,0.355,0.3659032389212603
63,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,64000,0.06312827399233356,0.695053526556745,False,0.352765625,0.349,0.43024273580137473
64,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,65000,0.06279413099400699,0.6943306598740147,False,0.3478769230769231,0.35,0.4822695035461
65,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,66000,87.10201952600619,0.6911638153591959,True,0.3350151515151515,0.339,0.0
66,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,67000,0.06907090899767354,0.6921792709373171,False,0.33685074626865674,0.324,0.07340590979782133
67,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,68000,0.058625535981263965,0.691198237582183,False,0.33147058823529413,0.355,0.002490101845161609
68,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,69000,0.057241085974965245,0.6903204708960105,False,0.3263478260869565,0.348,0.06104625811354789
69,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,70000,0.061649102019146085,0.6895287597673058,False,0.3215857142857143,0.366,0.11842285685793141
70,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,71000,0.0602372030261904,0.6878248597294413,False,0.31591549295774646,0.34,0.24213075060533015
71,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,72000,0.062149652978405356,0.6869643041547623,False,0.3094722222222222,0.334,0.30472574682785813
72,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,73000,0.05954737000865862,0.6855529930122888,False,0.30353424657534245,0.356,0.407550943867981
73,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,74000,85.03237379301572,0.6842621596502703,True,0.3000675675675676,0.352,0.0
74,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,75000,0.06675713701406494,0.682919692953771,False,0.28973333333333334,0.327,0.09819225540057619
75,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,76000,0.06082046596566215,0.6812674262503873,False,0.28307894736842104,0.318,0.2193093017393513
76,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,77000,0.05836609494872391,0.680131492891811,False,0.27636363636363637,0.31,0.3027474329540609
77,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,78000,0.05874992400640622,0.6783243261849851,False,0.269525641025641,0.296,0.4357766297414402
78,Golatkar threshold: 0.5%,1000,78436,0.15,targeted_informed,78436,0.0619933350244537,0.6777047261712161,False,0.26587281350400327,0.23623853211009174,0.48146790845791654
