,batch,Unnamed: 0,method,time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,10,0,retrain,16.22901816898957,0.9682459677419356,0.6,0.6
1,20,1,retrain,16.39228993281722,0.9682459677419356,0.7,0.8
2,30,2,retrain,16.64289034716785,0.9682459677419356,0.8,1.0
3,40,3,retrain,16.849192888010293,0.96875,0.775,0.7
4,50,4,retrain,16.98821499524638,0.9682459677419356,0.8,0.9
5,60,5,retrain,16.77165417233482,0.9682459677419356,0.8333333333333334,1.0
6,70,6,retrain,16.595776482950896,0.96875,0.8428571428571429,0.9
7,80,7,retrain,16.537191546987742,0.96875,0.8625,1.0
8,90,8,retrain,16.590283379890025,0.96875,0.8666666666666667,0.9
9,100,9,retrain,16.723174737300724,0.96875,0.87,0.9
10,110,10,retrain,16.61819464713335,0.96875,0.8727272727272727,0.9
11,120,11,retrain,16.540866911876947,0.96875,0.8833333333333333,1.0
12,130,12,retrain,16.722258197143677,0.96875,0.8846153846153846,0.9
13,140,13,retrain,16.565496791619807,0.96875,0.8928571428571429,1.0
14,150,14,retrain,16.546274229884148,0.96875,0.8933333333333333,0.9
15,160,15,retrain,16.634993406012654,0.9682459677419356,0.9,1.0
16,170,16,retrain,16.530565022025257,0.9682459677419356,0.9058823529411764,1.0
17,180,17,retrain,16.598167599644512,0.9682459677419356,0.9111111111111112,1.0
18,190,18,retrain,16.78025914588943,0.9682459677419356,0.9105263157894736,0.9
19,200,19,retrain,16.55291953496635,0.9682459677419356,0.91,0.9
20,210,20,retrain,16.323539972305298,0.9682459677419356,0.9142857142857144,1.0
21,220,21,retrain,16.266135595738888,0.9682459677419356,0.9181818181818182,1.0
22,230,22,retrain,16.314308813307434,0.9682459677419356,0.9217391304347826,1.0
23,240,23,retrain,16.830016037914902,0.9682459677419356,0.925,1.0
24,250,24,retrain,16.257485742215067,0.9682459677419356,0.9279999999999999,1.0
25,260,25,retrain,16.24005988193676,0.9682459677419356,0.9192307692307692,0.9
26,270,26,retrain,16.379618715960532,0.9682459677419356,0.9222222222222224,1.0
27,280,27,retrain,16.38268722873181,0.9682459677419356,0.925,1.0
28,290,28,retrain,16.613585707265884,0.9682459677419356,0.9275862068965516,1.0
29,300,29,retrain,16.624955765902993,0.9682459677419356,0.93,1.0
30,310,30,retrain,16.801310212351382,0.9682459677419356,0.932258064516129,1.0
31,320,31,retrain,16.540889821015302,0.9682459677419356,0.934375,1.0
32,330,32,retrain,16.458889266010374,0.9682459677419356,0.9333333333333332,0.9
33,340,33,retrain,16.575540042016655,0.9682459677419356,0.9352941176470588,1.0
34,350,34,retrain,16.261719763744622,0.9682459677419356,0.9371428571428572,1.0
35,360,35,retrain,16.624535130802542,0.9682459677419356,0.9305555555555556,0.7
36,370,36,retrain,16.095398057252172,0.9682459677419356,0.9324324324324323,1.0
37,380,37,retrain,16.21923357108608,0.9682459677419356,0.9289473684210526,0.8
38,390,38,retrain,16.236969157122072,0.9682459677419356,0.9307692307692308,1.0
39,400,39,retrain,16.218763531651348,0.967741935483871,0.9325,1.0
40,410,40,retrain,16.324643149040643,0.967741935483871,0.9341463414634148,1.0
41,420,41,retrain,16.257747980766002,0.967741935483871,0.9357142857142856,1.0
42,430,42,retrain,16.349216545000672,0.967741935483871,0.9372093023255814,1.0
43,440,43,retrain,16.436403625179082,0.967741935483871,0.9363636363636364,0.9
44,450,44,retrain,16.177417297847573,0.967741935483871,0.9377777777777778,1.0
45,460,45,retrain,16.502757639624182,0.967741935483871,0.932608695652174,0.7
46,470,46,retrain,16.150839609093964,0.967741935483871,0.9319148936170212,1.0
47,480,47,retrain,16.1168265780434,0.9672379032258064,0.9291666666666668,0.8
48,490,48,retrain,15.962143369019033,0.9672379032258064,0.926530612244898,0.9
49,500,49,retrain,15.97707873210311,0.9672379032258064,0.9259999999999999,0.9
50,510,50,retrain,15.964025301858785,0.9672379032258064,0.9274509803921568,1.0
51,520,51,retrain,16.15536007611081,0.9672379032258064,0.928846153846154,1.0
52,530,52,retrain,16.142087880987674,0.9672379032258064,0.930188679245283,1.0
53,540,53,retrain,16.120629409328107,0.9672379032258064,0.9296296296296296,0.9
54,550,54,retrain,16.30842065764591,0.9672379032258064,0.9309090909090908,1.0
