,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
0,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,1000,99.63193628797308,0.7451034387800765,True,0.61,0.61,0.0
1,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,2000,102.53890742099611,0.7429692609548725,True,0.586,0.562,0.0
2,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,3000,0.12842828501015902,0.7419882275997384,False,0.5536666666666666,0.498,0.06606474344858192
3,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,4000,101.69570285198279,0.7401466386699252,True,0.5325,0.503,0.0
4,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,5000,0.07741649099625647,0.7408695053526557,False,0.5232,0.503,0.048808832074382205
5,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,6000,0.06393916305387393,0.740611338680252,False,0.5253333333333333,0.575,0.03138257685825922
6,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,7000,0.07842639402952045,0.7397335719940794,False,0.5332857142857143,0.617,0.02791216970598608
7,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,8000,0.07036825298564509,0.7392344497607656,False,0.542125,0.644,0.06166017101971414
8,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,9000,0.0690154530457221,0.7388558053079067,False,0.5502222222222222,0.657,0.08727729742939257
9,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,10000,98.00736351299565,0.7375649719458882,True,0.558,0.637,0.0
10,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,11000,0.07488469005329534,0.7378403497297855,False,0.5539090909090909,0.598,0.018664551350848085
11,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,12000,0.06330682500265539,0.7371002719355616,False,0.5534166666666667,0.603,0.03151223725212926
12,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,13000,0.06285423500230536,0.7363257719183505,False,0.5487692307692308,0.559,0.08407679013498776
13,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,14000,96.9496930729947,0.7334859385219098,True,0.5329285714285714,0.571,0.0
14,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,15000,0.08429271500790492,0.7346907163264603,False,0.5446666666666666,0.618,0.08205945793866026
15,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,16000,0.07005409698467702,0.7338990051977556,False,0.544375,0.608,0.02814985104036579
16,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,17000,0.0681307420018129,0.7331417162920382,False,0.5455882352941176,0.636,0.023470321778113062
17,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,18000,0.06664366397308186,0.7324360607208014,False,0.5452222222222223,0.618,0.07161894027450277
18,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,19000,99.50312148896046,0.7340194829782107,True,0.5504736842105263,0.604,0.0
19,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,20000,96.03226435603574,0.7335031496334034,True,0.5487,0.629,0.0
20,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,21000,97.68745000497438,0.7303190940070909,True,0.540952380952381,0.588,0.0
21,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,22000,0.08151108800666407,0.7303363051185846,False,0.5375909090909091,0.572,0.0011783143035631058
22,Golatkar threshold: 0.1%,1000,78436,0.15,targeted_informed,23000,0.0645363720250316,0.7297511273278028,False,0.5357391304347826,0.6,0.038899956384897946
