,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
36,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,37000,0.06300377199659124,0.7192351382052253,False,0.4875405405405405,0.438,0.654946570148222
37,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,38000,0.06317800702527165,0.7182713159615848,False,0.48376315789473684,0.456,0.721991602535893
38,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,39000,0.062294972012750804,0.7174107603869058,False,0.4794871794871795,0.452,0.7819287576020866
39,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,40000,0.06235327495960519,0.7163264603628102,False,0.473575,0.393,0.8575512148642214
40,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,41000,0.06202841398771852,0.7154486936766377,False,0.46814634146341466,0.407,0.9188525664708183
41,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,42000,0.06132025900296867,0.7143299714295549,False,0.46276190476190476,0.4,0.9970898335003117
42,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,43000,91.96046768099768,0.7105091046779801,True,0.44927906976744186,0.409,0.0
43,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,44000,0.09807316603837535,0.7122818491618189,False,0.45284090909090907,0.374,0.12459627178922866
44,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,45000,0.06449712399626151,0.7115245602561013,False,0.44808888888888887,0.388,0.0714086876535576
45,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,46000,0.06405645899940282,0.7106123713469416,False,0.4420217391304348,0.379,0.0072665617052163674
46,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,47000,0.06328894902253523,0.7097001824377819,False,0.4361914893617021,0.38,0.05695796017790046
47,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,48000,0.06320400896947831,0.7089601046435579,False,0.43083333333333335,0.385,0.10912530009457824
48,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,49000,0.06274334696354344,0.7078758046194623,False,0.4264081632653061,0.391,0.18565482763223554
49,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,50000,0.06586116796825081,0.7069980379332897,False,0.4214,0.372,0.24769305488101015
50,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,51000,0.06888885295484215,0.70608584902413,False,0.4162941176470588,0.374,0.3122456170192107
51,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,52000,0.06709990499075502,0.7050703934460087,False,0.4118269230769231,0.395,0.3842038712187538
52,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,53000,0.06738855497678742,0.7045368489897078,False,0.4069811320754717,0.373,0.42205383314885936
53,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,54000,0.07061566598713398,0.7034009156311315,False,0.4021851851851852,0.375,0.5027327725773255
54,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,55000,0.07460560399340466,0.7025059378334653,False,0.3982909090909091,0.41,0.5663893591882995
55,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,56000,0.06679346802411601,0.7017830711507349,False,0.3929285714285714,0.343,0.6178631926587633
56,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,57000,0.06506466999417171,0.7011118378024853,False,0.3883859649122807,0.363,0.665707527615888
57,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,58000,0.06560329801868647,0.7003545488967677,False,0.38424137931034485,0.379,0.7197404054944273
58,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,59000,0.058760890970006585,0.6996488933255309,False,0.3793050847457627,0.355,0.7701414570441737
59,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,60000,0.05929911899147555,0.6987539155278648,False,0.37385,0.331,0.834137345660165
60,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,61000,0.0642711819964461,0.6974458710543527,False,0.36878688524590164,0.37,0.9278161481572006
61,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,62000,0.07677802501711994,0.6968779043750646,False,0.3634193548387097,0.347,0.9685466907988046
62,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,63000,88.0097446530126,0.6960861932463599,True,0.3601587301587302,0.358,0.0
63,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,64000,0.234038928989321,0.6950879487797322,False,0.35278125,0.349,0.07175553631077625
64,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,65000,0.07370931300101802,0.6943306598740147,False,0.3478769230769231,0.35,0.1262595004084906
65,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,66000,0.06234824098646641,0.6932635709614127,False,0.3428787878787879,0.343,0.20316138942570228
66,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,67000,0.06047387100988999,0.6921964820488107,False,0.33686567164179104,0.324,0.28018149810320175
67,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,68000,0.059932948963250965,0.691198237582183,False,0.33147058823529413,0.355,0.35233983425140825
68,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,69000,0.06228824896970764,0.6903204708960105,False,0.3263478260869565,0.348,0.4158752622497032
69,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,70000,0.06018687301548198,0.6895287597673058,False,0.3215857142857143,0.366,0.4732507732246924
70,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,71000,0.061229679035022855,0.6878248597294413,False,0.31591549295774646,0.34,0.5969555268132581
71,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,72000,0.06176151998806745,0.6869643041547623,False,0.3094722222222222,0.334,0.6595485203713438
72,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,73000,0.0628456610138528,0.6855529930122888,False,0.30353424657534245,0.356,0.7623698241068313
73,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,74000,0.06310440500965342,0.6839179374203986,False,0.2970675675675676,0.344,0.8817550292463316
74,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,75000,0.06475836300523952,0.682919692953771,False,0.28973333333333334,0.327,0.9547820226401927
75,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,76000,87.6562024980085,0.6822484596055213,True,0.28588157894736843,0.325,0.0
76,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,77000,0.06654078897554427,0.6801142817803174,False,0.27636363636363637,0.31,0.15665268583555883
77,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,78000,0.05855791096109897,0.6783243261849851,False,0.269525641025641,0.296,0.2884177503415411
78,Golatkar threshold: 1%,1000,78436,0.15,targeted_informed,78436,0.05678601103136316,0.6777047261712161,False,0.26587281350400327,0.23623853211009174,0.3341095474334278
