strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.04047107696533203,0.03892087936401367,0,0.0015501976013183594,0.9692540322580645,0.98,0.98,0.026007802340701474,0.018974903664543394,0.0005040322580645018,100,False,0.5099999904632568,0.5099999904632568,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03954434394836426,0.038054466247558594,0,0.001489877700805664,0.96875,0.985,0.99,0.0,0.0,0.0,200,False,0.550000011920929,0.5299999713897705,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03928399085998535,0.0377650260925293,0,0.0015189647674560547,0.96875,0.9766666666666667,0.96,0.0,0.0,0.0,300,False,0.46000000834465027,0.5066666603088379,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.042412757873535156,0.04056859016418457,0,0.001844167709350586,0.9692540322580645,0.965,0.93,0.026007802340701474,0.018974903664543394,0.0005040322580645018,400,False,0.5199999809265137,0.5099999904632568,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03899121284484863,0.03740835189819336,0,0.0015828609466552734,0.9692540322580645,0.96,0.94,0.026007802340701474,0.018974903664543394,0.0005040322580645018,500,False,0.46000000834465027,0.5,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03854250907897949,0.03696846961975098,0,0.0015740394592285156,0.9692540322580645,0.9566666666666667,0.95,0.026007802340701474,0.018974903664543394,0.0005040322580645018,600,False,0.5899999737739563,0.5149999856948853,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03819131851196289,0.03667807579040527,0,0.0015132427215576172,0.9692540322580645,0.9571428571428572,0.96,0.026007802340701474,0.018974903664543394,0.0005040322580645018,700,False,0.5699999928474426,0.522857129573822,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.038358449935913086,0.036916255950927734,0,0.0014421939849853516,0.9692540322580645,0.9575,0.95,0.026007802340701474,0.018974903664543394,0.0005040322580645018,800,False,0.6100000143051147,0.5337499976158142,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.03792095184326172,0.03643608093261719,0,0.0014848709106445312,0.9692540322580645,0.9611111111111111,0.99,0.026007802340701474,0.018974903664543394,0.0005040322580645018,900,False,0.5699999928474426,0.5377777814865112,5,0.7295850459017141
golatkar_disparity_thresh_v2,0.0001,True,0.375,100,1,0,uniform_random,0,SGD,1.0,False,1024,1000,0.0,0,0.038405418395996094,0.0368194580078125,0,0.0015859603881835938,0.9692540322580645,0.96,0.95,0.026007802340701474,0.018974903664543394,0.0005040322580645018,1000,False,0.5099999904632568,0.5350000262260437,5,0.7295850459017141
