strategy,lam,l2_norm,remove_ratio,deletion_batch_size,sampler_seed,remove_class,sampling_type,sgd_seed,optim,step_size,lr_schedule,batch_size,num_steps,noise,noise_seed,running_time,unlearning_time,retraining_time,other_time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err,pipeline_acc_dis_est,pipeline_abs_err,num_deletions,retrained,batch_deleted_class_balance,cum_deleted_class_balance,threshold,prop_const
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.12018823623657227,0.1174478530883789,0,0.0027403831481933594,0.9692540322580645,0.87,0.87,0.026007802340701474,0.02113862828410758,0.0005040322580645018,100,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.10674691200256348,0.10462713241577148,0,0.002119779586791992,0.9682459677419355,0.915,0.96,0.026021337496746594,0.02009881466618154,0.0005040322580645018,200,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06670045852661133,0.0648050308227539,0,0.0018954277038574219,0.96875,0.93,0.99,0.0,0.0,0.0,300,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06650066375732422,0.06468486785888672,0,0.0018157958984375,0.96875,0.9325,0.94,0.0,0.0,0.0,400,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06592154502868652,0.0640256404876709,0,0.001895904541015625,0.967741935483871,0.93,0.93,0.052056220718374374,0.03955697448795437,0.0010080645161290036,500,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06553840637207031,0.0636751651763916,0,0.001863241195678711,0.9672379032258065,0.9333333333333333,0.96,0.0781046602447257,0.05913512008615862,0.0015120967741935054,600,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06490588188171387,0.0629575252532959,0,0.0019483566284179688,0.9667338709677419,0.9314285714285714,0.93,0.10416666666666945,0.07902377208896856,0.0020161290322581182,700,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06465506553649902,0.06271982192993164,0,0.0019352436065673828,0.9657258064516129,0.925,0.9,0.1563314226159471,0.11940762195758081,0.003024193548387122,800,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06395912170410156,0.06198906898498535,0,0.001970052719116211,0.9642137096774194,0.9211111111111111,0.91,0.23468057366362355,0.17997644697612272,0.004536290322580627,900,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06400394439697266,0.06204342842102051,0,0.0019605159759521484,0.9637096774193549,0.923,0.98,0.26082420448617466,0.1996036888188944,0.005040322580645129,1000,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06318831443786621,0.06122899055480957,0,0.0019593238830566406,0.9642137096774194,0.9227272727272727,0.94,0.23468057366362355,0.17966065094970596,0.004536290322580627,1100,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06289911270141602,0.06090593338012695,0,0.0019931793212890625,0.9632056451612904,0.9183333333333333,0.92,0.28698147665014107,0.22072633026635724,0.005544354838709631,1200,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.06228470802307129,0.06026935577392578,0,0.002015352249145508,0.9621975806451613,0.9146153846153846,0.93,0.3393369877316646,0.26202672552954626,0.0065524193548387455,1300,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.07604122161865234,0.07403421401977539,0,0.002007007598876953,0.9621975806451613,0.9114285714285715,0.94,0.3393369877316646,0.2629453119369601,0.0065524193548387455,1400,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.056653499603271484,0.054636478424072266,0,0.0020170211791992188,0.9621975806451613,0.9073333333333333,0.92,0.3393369877316646,0.26413524720063447,0.0065524193548387455,1500,False,1.0,1.0,1,0.7295850459017141
golatkar_disparity_thresh,0.0001,True,0.375,100,0,0,targeted_informed,0,SGD,1.0,False,1024,1000,0.0,0,0.05597209930419922,0.05393195152282715,0,0.0020401477813720703,0.9616935483870968,0.899375,0.89,0.36553524804177656,0.28703594120220305,0.007056451612903247,1600,False,1.0,1.0,1,0.7295850459017141
